feature,shap_value,feature_value,abs_shap
rolling_7_mean,203.27668550039087,892.2857142857143,203.27668550039087
onpromotion,143.62420328499238,23,143.62420328499238
rolling_14_mean,103.68035390812248,1432.142857142857,103.68035390812248
lag_14,88.0053982555421,2425.0,88.0053982555421
transactions,-62.511585979081744,796.0,62.511585979081744
cluster,52.248008287101385,3,52.248008287101385
state,44.99946465456745,Guayas,44.99946465456745
rolling_14_std,-44.510843121109744,1418.8478997543616,44.510843121109744
lag_28,-41.25771011602791,416.0,41.25771011602791
rolling_7_std,21.45504888273661,671.4411650288038,21.45504888273661
type,19.9132546707691,C,19.9132546707691
day,-18.877158495124874,10,18.877158495124874
lag_1,13.595760713892373,462.0,13.595760713892373
lag_7,-9.416075151474775,548.0,9.416075151474775
dow_cos,7.293957634573448,1.0,7.293957634573448
dow_sin,-4.624185021129992,0.0,4.624185021129992
dayofweek,-4.278009353106262,0,4.278009353106262
dcoilwtico,-4.096089238813062,44.4,4.096089238813062
month_sin,-3.9759619516384626,1.2246467991473532e-16,3.9759619516384626
year,-3.1684124834911156,2017,3.1684124834911156
weekofyear,-2.966984634231907,28,2.966984634231907
is_holiday,-1.7753144465473032,0,1.7753144465473032
month,0.3774191827302627,7,0.3774191827302627
month_cos,0.12669809887798486,-1.0,0.12669809887798486
is_weekend,-0.05992137712137454,0,0.05992137712137454
