date,store_nbr,family,sales,dayofweek,weekofyear,month,day,year,is_weekend,dow_sin,dow_cos,month_sin,month_cos,lag_1,lag_7,lag_14,lag_28,rolling_7_mean,rolling_14_mean,rolling_7_std,rolling_14_std,onpromotion,transactions,is_holiday,type,cluster,state,dcoilwtico,y_true,y_pred,abs_resid
2017-06-25,54,BEVERAGES,17614.0,6,25,6,25,2017,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,2043.0,8310.0,13889.0,2683.0,2950.8571428571427,4020.6428571428573,2508.84876843088,3508.4923040036338,30,1003.0,1,C,3,Manabi,42.86,17614.0,4380.995201659409,13233.004798340591
2017-05-17,54,GROCERY I,13533.0,2,20,5,17,2017,0,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,3251.0,2215.0,3008.0,1963.0,3675.5714285714284,3520.1428571428573,832.3927072287729,770.8670300525142,41,706.0,0,C,3,Manabi,49.04,13533.0,2640.295318751292,10892.704681248708
2017-06-11,54,BEVERAGES,13889.0,6,23,6,11,2017,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,2426.0,4605.0,2683.0,2368.0,3748.0,2836.5714285714284,3528.9432790378864,2599.4522711313825,26,1172.0,0,C,3,Manabi,45.82,13889.0,3295.5963549022513,10593.40364509775
2017-07-10,30,CLEANING,10392.0,0,28,7,10,2017,0,0.0,1.0,1.2246467991473532e-16,-1.0,462.0,548.0,2425.0,416.0,892.2857142857143,1432.142857142857,671.4411650288038,1418.8478997543616,23,796.0,0,C,3,Guayas,44.4,10392.0,880.1802674874195,9511.81973251258
2017-06-05,54,BEVERAGES,11428.0,0,23,6,5,2017,0,0.0,1.0,0.49999999999999994,-0.8660254037844387,4605.0,1770.0,1886.0,2222.0,2199.714285714286,2022.0714285714287,1123.3925871047502,865.6322246495029,32,953.0,0,C,3,Manabi,47.4,11428.0,2528.5793888735902,8899.42061112641
2017-06-18,38,BEVERAGES,12571.0,6,24,6,18,2017,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,3351.0,3651.0,4350.0,3582.0,2457.8571428571427,2834.1428571428573,916.2824216312791,966.0230811976427,22,2131.0,0,D,4,Loja,44.73,12571.0,3688.9365161095698,8882.06348389043
2017-07-15,38,BEVERAGES,12734.0,5,28,7,15,2017,1,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,9425.0,3122.0,4409.0,3351.0,3425.5714285714284,3044.1428571428573,2709.133124398704,2015.9866398039749,46,1957.0,0,D,4,Loja,46.53,12734.0,4611.53629357854,8122.46370642146
2017-06-14,39,GROCERY I,12284.195,2,24,6,14,2017,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,11518.219,7122.859,11695.359,4317.406,7861.237714285715,7811.517357142858,1966.4297009845054,2073.308319480367,100,1239.0,0,B,6,Azuay,44.79,12284.195,4726.834173135312,7557.360826864688
2017-05-21,16,CLEANING,8817.0,6,20,5,21,2017,1,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,1056.0,782.0,1299.0,979.0,1553.0,1226.9285714285713,1517.3162711401558,1104.5593248883467,31,930.0,0,C,3,Santo Domingo de los Tsachilas,50.32,8817.0,1302.5478246049788,7514.452175395021
2017-06-20,47,BEVERAGES,14764.0,1,25,6,20,2017,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,7283.0,8065.0,7983.0,6401.0,9657.857142857143,9839.142857142857,3434.0859739078523,3357.0119006489904,29,3448.0,0,A,14,Pichincha,43.34,14764.0,7448.63797999345,7315.36202000655
